date,no2,month,dayofmonth,dayofweek
21/1/2013,74.62629643,1,21,0
21/1/2013,85.32256786,1,21,0
21/1/2013,95.49973214,1,21,0
21/1/2013,101.3239079,1,21,0
21/1/2013,101.66594,1,21,0
21/1/2013,96.46742214,1,21,0
21/1/2013,96.72700929,1,21,0
21/1/2013,97.19478643,1,21,0
21/1/2013,93.75505214,1,21,0
22/1/2013,91.09330846,1,22,1
22/1/2013,85.58380571,1,22,1
22/1/2013,83.83508643,1,22,1
22/1/2013,85.03859643,1,22,1
22/1/2013,81.52345357,1,22,1
22/1/2013,79.61416571,1,22,1
22/1/2013,83.57372357,1,22,1
22/1/2013,88.05901357,1,22,1
22/1/2013,95.06378357,1,22,1
22/1/2013,90.83681714,1,22,1
22/1/2013,87.79984571,1,22,1
22/1/2013,83.34226308,1,22,1
22/1/2013,76.94322231,1,22,1
22/1/2013,70.25329571,1,22,1
22/1/2013,73.494655,1,22,1
22/1/2013,82.15008357,1,22,1
22/1/2013,82.69660286,1,22,1
22/1/2013,78.92375214,1,22,1
22/1/2013,75.12757643,1,22,1
22/1/2013,73.57961214,1,22,1
22/1/2013,66.10293143,1,22,1
22/1/2013,65.40043143,1,22,1
22/1/2013,73.65020429,1,22,1
22/1/2013,67.13626357,1,22,1
23/1/2013,62.81778077,1,23,2
23/1/2013,50.52987857,1,23,2
23/1/2013,43.94993357,1,23,2
23/1/2013,41.07589071,1,23,2
23/1/2013,38.90547571,1,23,2
23/1/2013,42.06868143,1,23,2
23/1/2013,56.08327786,1,23,2
23/1/2013,69.64505214,1,23,2
23/1/2013,73.570495,1,23,2
23/1/2013,70.156615,1,23,2
23/1/2013,70.47630714,1,23,2
23/1/2013,70.40935,1,23,2
23/1/2013,69.71984714,1,23,2
23/1/2013,67.26894286,1,23,2
23/1/2013,72.91840071,1,23,2
23/1/2013,73.130995,1,23,2
23/1/2013,72.77691,1,23,2
23/1/2013,75.29983857,1,23,2
23/1/2013,75.39119357,1,23,2
23/1/2013,74.18297286,1,23,2
23/1/2013,70.27163571,1,23,2
23/1/2013,66.15511571,1,23,2
23/1/2013,62.97329714,1,23,2
23/1/2013,56.89742286,1,23,2
24/1/2013,55.54905462,1,24,3
24/1/2013,50.08809,1,24,3
24/1/2013,44.22864571,1,24,3
24/1/2013,38.49101,1,24,3
24/1/2013,35.64678,1,24,3
24/1/2013,41.10536214,1,24,3
24/1/2013,57.01825071,1,24,3
24/1/2013,69.70232643,1,24,3
